num_cities,paths_processed,best_distance,duration_s
2,2,3.137377688496279,0.0149
2,2,54.9818982549124,0.0067
2,2,14.257009479673561,0.0044
2,2,4.311211581999714,0.0046
2,2,52.898112445342726,0.004
2,2,26.369424689110087,0.004
2,2,28.0443031219588,0.0046
2,2,64.28667430611006,0.0042
2,2,90.61843860302221,0.004
2,2,76.60683966857212,0.0043
2,2,63.71346181311759,0.0048
2,2,54.969265347773494,0.0045
2,2,37.98835157501501,0.0051
2,2,61.009230919897526,0.0045
2,2,63.59038785687905,0.0055
2,2,41.04362385146532,0.0047
2,2,43.689231424733144,0.0043
2,2,55.22815536149417,0.0049
2,2,105.98448733364621,0.004
2,2,53.81969476598322,0.0045
3,6,91.43662060809177,0.0081
3,6,128.56752140014976,0.0078
3,6,74.78428588895353,0.0079
3,6,79.72813925081523,0.0091
3,6,124.45559306723737,0.0081
3,6,101.1648531484332,0.0085
3,6,62.83242568603583,0.0097
3,6,61.538685538347465,0.0075
3,6,66.8244142228256,0.0099
3,6,163.98970796498978,0.0093
3,6,129.78204906300556,0.0089
3,6,68.64367008523467,0.0092
3,6,99.13602459975344,0.0078
3,6,112.7324994219027,0.0094
3,6,109.69850865270956,0.0087
3,6,134.37301706003393,0.0087
3,6,60.27530758169835,0.008
3,6,85.77362873190734,0.0087
3,6,163.68991636310628,0.009
3,6,92.05399691790566,0.0084
4,24,113.08751677414875,0.0285
4,24,104.58058138206242,0.0312
4,24,89.28006532826168,0.0286
4,24,150.96995188218972,0.0297
4,24,135.44870143188155,0.0302
4,24,85.98640757431085,0.0256
4,24,153.77073582719808,0.0271
4,24,121.54069191095826,0.0259
4,24,91.71623285302692,0.0308
4,24,134.176710361622,0.0272
4,24,140.87874933953833,0.0249
4,24,129.65960013248326,0.0261
4,24,69.02871607006585,0.0288
4,24,135.418450172225,0.0245
4,24,134.78086832659434,0.0269
4,24,97.29730993908751,0.0251
4,24,117.9939773068518,0.0244
4,24,178.3629564054868,0.0252
4,24,160.19444335650738,0.024
4,24,174.08823566804605,0.0251
5,120,150.1628067483554,0.1168
5,120,169.22422352565877,0.1142
5,120,132.09502342423136,0.1078
5,120,98.33377533892535,0.1058
5,120,171.22769637410585,0.1035
5,120,87.925815677603,0.1042
5,120,66.60407130186059,0.1093
5,120,195.06066934046027,0.1142
5,120,87.42386200329801,0.1154
5,120,155.31894789769117,0.1099
5,120,139.72730047101555,0.1082
5,120,114.79691194268375,0.1097
5,120,123.66185176684841,0.1135
5,120,133.74339714309744,0.1084
5,120,141.15487150854216,0.1134
5,120,150.876593871967,0.104
5,120,114.4056466325024,0.1106
5,120,113.78282168034804,0.1064
5,120,136.92950800099547,0.1055
5,120,162.7159962913868,0.1104
6,720,159.46964423794384,0.6392
6,720,128.50674282768185,0.6748
6,720,140.04878385775385,0.6644
6,720,184.6347014191765,0.6478
6,720,118.68804404752194,0.6421
6,720,152.24145872792926,0.6317
6,720,129.61434421117178,0.654
6,720,184.68838028494773,0.7494
6,720,195.4269345448089,0.7407
6,720,138.72913617324045,0.7097
6,720,126.51552411193967,0.7152
6,720,151.98258643155097,0.7131
6,720,158.38253178537292,0.7143
6,720,205.58511357531995,0.7092
6,720,167.11702819615883,0.7161
6,720,199.46761055138538,0.6533
6,720,210.64847936949747,0.6327
6,720,110.51881069456124,0.6573
6,720,179.3677924107416,0.6366
6,720,213.58084028568044,0.6763
7,5040,209.14808899686574,4.9835
7,5040,182.41565710617675,5.0526
7,5040,182.7190913394267,4.7144
7,5040,204.95968446805153,4.5891
7,5040,177.2169209192528,4.6645
7,5040,175.59631899172365,4.5073
7,5040,181.443514708178,4.5532
7,5040,178.00186111488247,4.3921
7,5040,141.07289457845815,5.3068
7,5040,146.021730468072,4.6407
7,5040,183.22119252655642,4.925
7,5040,106.44259847475925,4.6582
7,5040,133.59045332764424,4.6912
7,5040,131.64550480779957,4.6205
7,5040,232.84897196810118,4.753
7,5040,173.73021623128727,4.8259
7,5040,153.0601242450149,4.6552
7,5040,179.75404553829733,4.9434
7,5040,197.97762429792547,4.634
7,5040,227.35379630802328,4.7697
2,2,62.61133543821674,0.0124
2,2,4.712007372614198,0.0049
2,2,101.03430171041508,0.004
2,2,64.05440357129648,0.0039
2,2,53.590216805194636,0.0044
3,6,67.85290364359304,0.0073
3,6,93.54732629106061,0.0072
3,6,69.79961022110425,0.0074
3,6,97.94966911359535,0.0077
3,6,77.3493945208281,0.0066
4,24,105.75192127974792,0.0196
4,24,93.74949330906377,0.0215
4,24,67.29300663940273,0.0215
4,24,114.04377500726424,0.021
4,24,145.18497403608,0.0205
5,120,52.174736694544855,0.1106
5,120,157.7170204740392,0.0902
5,120,124.89789547687707,0.0957
5,120,135.0930995618538,0.0931
5,120,113.07230757854987,0.1026
6,720,169.40307733440866,0.6405
6,720,156.80231040176784,0.622
6,720,201.88621003866172,0.6197
6,720,159.27158127573216,0.6316
6,720,148.11940696243428,0.6721
8,40320,201.30666640147572,41.2259
8,40320,218.95620287037562,29.1262
8,40320,160.28563423785823,37.6553
8,40320,160.14615761409448,39.6024
8,40320,158.78248040434033,30.9553
9,362880,241.87903331675048,307.1026
